index,distance,classify_label,real_label
5835,-59134,0,1
5836,-68317,0,1
5837,257832,1,1
5838,-205669,0,1
5839,-94310,0,1
5840,-38677,0,1
5841,-23248,0,1
5842,150905,1,1
5843,62993,1,1
5844,26889,1,1
5845,435051,1,1
5846,-5607,0,1
5847,33192,1,1
5848,-9141,0,1
5849,40274,1,1
5850,6642,1,1
5851,44434,1,1
5852,43706,1,1
5853,-8823,0,1
5854,-47356,0,1
5855,-59481,0,1
5856,67658,1,1
5857,49299,1,1
5858,-5229,0,1
5859,-27949,0,1
5860,56358,1,1
5861,23334,1,1
5862,43738,1,1
5863,61056,1,1
5864,133783,1,1
5865,36766,1,1
5866,3060,1,1
5867,7870,1,1
5868,51599,1,1
5869,-193326,0,1
5870,17847,1,1
5871,-64430,0,1
5872,79682,1,1
5873,160264,1,1
5874,-83606,0,1
5875,108374,1,1
5876,-43636,0,1
5877,55649,1,1
5878,-18074,0,1
5879,-7565,0,1
5880,119868,1,1
5881,44951,1,1
5882,53801,1,1
5883,39370,1,1
5884,207367,1,1
5885,-41361,0,1
5886,-7158,0,1
5887,140859,1,1
5888,-31993,0,1
5889,93858,1,1
5890,49765,1,1
